doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000556--000002_410301,1977,,Les effets des accords conclus par les organisations internationales,Hans-Jörg Geiser de Sempach,Hans-Jörg Geiser,Herbert Lang Berne Peter Lang Francfort,Publications Universitaires Européennes Europäische Hochschulschrißen,Herbert Lang Berne Peter Lang FrancfortM.
HEI_000556--000003_410301,1973,,Die Donaukommission und die Donaustaaten: Kooperation und Integration,B. H.,Jacques FREYMOND,Mme Marlis,Jean SIOTIS,Wilhelm Braumüller Universitäts-Verlagsbudihandlung Ges
HEI_000556--000004_410301,1972,,"Le régime modernisateur du Brésil, 1964-1972",Georges-André FIECHTER Landecy,A.W. SIJTHOFF Leyden,Jacques FREYMOND,Jacques LHUILLIER,Louis J. HALLE
HEI_000556--000007_410206,1977,,The Philippines and Southeast Asia 1954-1972,FERDINAND LITTAUA,Gilbert ETIENNE,Alexandre CASELLA,Dr. R. Santos-Cuyugan,Jacques Freymond
HEI_000557--000001_410206,1974,,Le IIIe Reich et la réorganisation économique de l'Europe,Jean FREYMOND Saint-Cierges,M Marlis,Saul FRIEDLÄN DER,Jean-Baptiste DU ROSELLE,Jacques FRE YMOND
HEI_000557--000002_410206,1977,,From Pan Negroism to African Paramountcy,CM CO O X,O Hfc,Kiven TUNTENG Cameroun,t Ûbi,Kiven TUNTENG
HEI_000557--000003_410206,1973,,Der Beitrag des Oekumenischen Rates der Kirchen zur Entwicklungshilfe,Bettina S. Hürni,Paul Haupt Bem,Mme Marlis G. Stei,Philippe Cahier,Gilbert Etieime
HEI_000557--000004_410206,1974,,Le règlement des différends dans les organisations internationales économiques,Georges MALINVERNI de Locarno,Michel VIRALE,Mme Denise,Georges ABI,Philippe CAHIER
HEI_000557--000005_410206,1973,,Politique conjoncturelle en économie ouverte,CM O O X O H,Herbert Lang Berne Peter Lang FrancfortM.,GIOVANNI ANTONIO COLOMBO,Herbert Lang Berne Peter Lang Francfort,Jacques LHUILLIER
HEI_000557--000006_410206,1975,,La dictature du prolétariat et le dépérissement de l'Etat de Marx à Lénine,Lénine,Lénine Publié,KAZEM RADJAVi,Jacques Freymond,M. François Châtelet
HEI_000557--000007_411209,1974,,The Greco-Bulgarian dispute before the League of Nations 1925-1927,KRISHNA AHOOJA-PATEL,Mme Marlis Steinert,Jean Siotis,Jacques FREYMOND,Acknowledgements Though
HEI_000557--000008_411209,1975,,L'UIT et les télécommunications par satellites,JACQUES GARMIER,Etablissements Emile Bruylant,Denise Bindschedler,Jean Siotis,Jean Voge
HEI_000558--000001_411209,1976,,The imperatives of nonalignment,Foreign Policy Strategy in the Nehru Period I,Jacques FREYMOND,Louis J. HALLE,Harish KAPUR,M. Urs SCHWARZ
HEI_000558--000002_411209,1975,,Canadian foreign policy and the League of Nations,Richard VEATCH,Mme Marlis,Jean SIOTIS,Karl BIRNBAUM,Peace Conference
HEI_000558--000003_411209,1975,,The legal status of foreign investments in the East African Common Market,Osila C. EZE,Osita C. EZE,W U Q.rY. kQ J,Rudolf BYSTRICKY,Georges ABI
HEI_000558--000004_411209,1976,,Les sources de la neutralité économique suisse,Jacques F REYMOND,M. Miklos MOLNAR,Jean-Charles BIAUDET,Jacques FREYMOND,Avant-propos Le
